sub_category,product_name,product_price,product_manufactured
Human Insulins And Analogues,Insuman Comb 25 Injection,₹257.94,Sanofi India  Ltd
Human Insulins And Analogues,Lupisulin M 30 Solution for Injection 40IU/ml,₹133.53,Lupin Ltd
Human Insulins And Analogues,Mixtard 50 HM 100IU/ml Penfill,₹271.15,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novorapid 100IU/ml Solution for Injection,₹673.2,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Wosulin 30/70 Injection,₹245.65,Wockhardt Ltd
Human Insulins And Analogues,Novorapid 100IU Injection,₹1793.5,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Huminsulin  30/70 Solution for Injection 40IU/ml,₹133.45,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Lupisulin M 30 Injection 100IU/ml,₹224.32,Lupin Ltd
Human Insulins And Analogues,Mixtard 30 Suspension for Injection 100IU/ml,₹440.3,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Insugen 50/50 Injection 100IU/ml,₹182.24,Biocon
Human Insulins And Analogues,Humalog Mix 50 100IU/ml Cartridge,₹633.25,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Insugen 30/70 Solution for Injection 40IU/ml,₹133.36,Biocon
Human Insulins And Analogues,Novomix 50 100IU/ml Penfill,₹620.5,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Huminsulin  30/70 Suspension for Injection 100IU/ml,₹416.5,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Fiasp FlexTouch,₹642.6,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novorapid 100IU/ml Solution for Injection,₹2992,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Insuman Comb 50 100IU Cartridge 3 ml,₹1289.71,Sanofi India  Ltd
Human Insulins And Analogues,Humalog Mix 25 Kwikpen 100IU/ml,₹795.6,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Novomix 50 Suspension for Injection 100IU/ml,₹765,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Eglucent Mix 50 100IU/ml Suspension for Injection,₹633.25,Lupin Ltd
Human Insulins And Analogues,Fiasp 100IU/ml Solution for Injection,₹1561.87,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Humstard 30/70 Injection 40IU/ml,₹133.41,Cadila Pharmaceuticals Ltd
Human Insulins And Analogues,Huminsulin  50/50 Suspension for Injection 40IU/ml,₹133.45,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Eglucent Mix 25 Kwikpen 100IU/ml,₹723.35,Lupin Ltd
Human Insulins And Analogues,Human Mixtard 70/30 Suspension for Injection 40IU/ml,₹133.93,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novomix 30 100IU/ml Penfill,₹598.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Mixtard 30 HM 100IU/ml Penfill,₹271.15,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Ryzodeg 100IU/ml Penfill,₹870.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Huminsulin  30/70 100IU/ml Cartridge 3ml,₹300.9,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Human Mixtard 70/30 Suspension for Injection 100IU/ml,₹348.5,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novorapid 100IU/ml Solution for Injection,₹598.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Ryzodeg 100IU/ml Flextouch,₹1122,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Human Mixtard 50 Injection 40IU/ml,₹169.7,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Humalog Mix 25 100IU/ml Cartridge,₹633.25,Eli Lilly and Company India Pvt Ltd
